[LIBGPUSPATIAL] [ 52915][11:00:16:949314][info  ] Initializing GpuSpatialRuntime on device 0, PTX root /mnt/data/sedona-db/target/release/build/sedona-libgpuspatial-49614f8a870dbe66/out/share/gpuspatial/shaders
[LIBGPUSPATIAL] [ 52920][11:00:18:006650][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2756, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:18:006854][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 617528 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:18:014851][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 21.03 ms, Refine: 7.79 ms, Copy Results: 0.36 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:156679][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 3 MB, capacity 508540
[LIBGPUSPATIAL] [ 52920][11:00:18:157873][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 508540
[LIBGPUSPATIAL] [ 52920][11:00:18:157902][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.81 ms, Copy res: 0.77 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:171803][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2527, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:18:171981][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 508540 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:18:179908][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 12.63 ms, Refine: 7.76 ms, Copy Results: 0.30 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:322939][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 3 MB, capacity 523852
[LIBGPUSPATIAL] [ 52920][11:00:18:324130][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 523852
[LIBGPUSPATIAL] [ 52920][11:00:18:324159][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.11 ms, Prepare: 0.47 ms, RT: 0.77 ms, Copy res: 0.75 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:344674][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2832, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:18:344846][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 523852 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:18:350700][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 19.12 ms, Refine: 5.61 ms, Copy Results: 0.38 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:514045][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 11 MB, capacity 1495810
[LIBGPUSPATIAL] [ 52920][11:00:18:518854][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 1495810
[LIBGPUSPATIAL] [ 52920][11:00:18:518887][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.94 ms, Copy res: 4.30 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:532840][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2372, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:18:533298][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 1495810 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:18:561222][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 13.01 ms, Refine: 27.89 ms, Copy Results: 0.44 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:775180][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 5 MB, capacity 657192
[LIBGPUSPATIAL] [ 52920][11:00:18:776470][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 657192
[LIBGPUSPATIAL] [ 52920][11:00:18:776500][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.74 ms, Copy res: 0.89 ms
[LIBGPUSPATIAL] [ 52920][11:00:18:793582][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2770, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:18:793792][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 657192 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:18:799233][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 15.26 ms, Refine: 5.15 ms, Copy Results: 0.46 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:004619][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 291001
[LIBGPUSPATIAL] [ 52920][11:00:19:005515][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 291001
[LIBGPUSPATIAL] [ 52920][11:00:19:005547][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.47 ms, RT: 0.74 ms, Copy res: 0.49 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:019850][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2493, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:19:019976][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 291001 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:19:025455][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 13.02 ms, Refine: 5.36 ms, Copy Results: 0.20 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:137711][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 4 MB, capacity 633984
[LIBGPUSPATIAL] [ 52920][11:00:19:139016][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 633984
[LIBGPUSPATIAL] [ 52920][11:00:19:139045][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.80 ms, Copy res: 0.88 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:157022][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2783, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:19:157229][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 633984 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:19:164523][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 16.50 ms, Refine: 7.21 ms, Copy Results: 0.26 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:280305][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 372024
[LIBGPUSPATIAL] [ 52920][11:00:19:281281][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 372024
[LIBGPUSPATIAL] [ 52920][11:00:19:281311][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.46 ms, RT: 0.74 ms, Copy res: 0.58 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:295861][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2500, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:19:296012][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 372024 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:19:300478][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 13.52 ms, Refine: 4.34 ms, Copy Results: 0.24 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:427658][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 5 MB, capacity 730220
[LIBGPUSPATIAL] [ 52920][11:00:19:429080][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 730220
[LIBGPUSPATIAL] [ 52920][11:00:19:429117][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.46 ms, RT: 0.80 ms, Copy res: 0.99 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:447540][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2791, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:19:447765][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 730220 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:19:454329][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 16.89 ms, Refine: 6.43 ms, Copy Results: 0.32 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:589496][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 327037
[LIBGPUSPATIAL] [ 52920][11:00:19:590427][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12275, Results: 327037
[LIBGPUSPATIAL] [ 52920][11:00:19:590457][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.46 ms, RT: 0.73 ms, Copy res: 0.53 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:604454][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12275, Loaded 2420, Type MultiPolygon
[LIBGPUSPATIAL] [ 52920][11:00:19:604574][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 327037 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52920][11:00:19:608528][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 12.54 ms, Refine: 3.81 ms, Copy Results: 0.23 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:674498][info  ] Create RTSpatialIndex 0x74c8d908e130, fast_build = 0, compact = 0, concurrency = 1
[LIBGPUSPATIAL] [ 52920][11:00:19:674812][info  ] Create RTSpatialRefiner 0x74c8db5a7550, fast_build = 0, compact = 0, parsing_threads = 8, concurrency = 1, pipeline_batches = 1, wkb_parser_memory_quota = 0.80, relate_engine_memory_quota = 0.80
[LIBGPUSPATIAL] [ 52920][11:00:19:789249][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. PushBuild: 54.13 ms, FinishBuilding: 0.01 ms
[LIBGPUSPATIAL] [ 52920][11:00:19:789281][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), FinishBuilding Refiner, Total geoms: 3057046
[LIBGPUSPATIAL] [ 52920][11:00:19:789295][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), PushBuild, Rectangles 3057046
[LIBGPUSPATIAL] [ 52920][11:00:19:794714][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), FinishBuilding Index on Points, Total geoms: 3057046
[LIBGPUSPATIAL] [ 52920][11:00:19:794738][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. PushBuild: 3.78 ms, FinishBuilding: 1.65 ms
[LIBGPUSPATIAL] [ 52915][11:00:19:864093][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 316027
[LIBGPUSPATIAL] [ 52915][11:00:19:865725][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 316027
[LIBGPUSPATIAL] [ 52915][11:00:19:865760][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.51 ms, RT: 0.37 ms, Copy res: 1.41 ms
[LIBGPUSPATIAL] [ 52915][11:00:19:880848][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2649, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:19:880978][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 316027 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:19:885914][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 14.66 ms, Refine: 4.75 ms, Copy Results: 0.27 ms
[LIBGPUSPATIAL] [ 52915][11:00:19:955390][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 5 MB, capacity 778123
[LIBGPUSPATIAL] [ 52915][11:00:19:957973][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 778123
[LIBGPUSPATIAL] [ 52915][11:00:19:958004][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.46 ms, RT: 0.36 ms, Copy res: 2.37 ms
[LIBGPUSPATIAL] [ 52915][11:00:19:971754][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2387, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:19:972005][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 778123 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:19:977129][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 12.04 ms, Refine: 4.92 ms, Copy Results: 0.42 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:087433][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 4 MB, capacity 540498
[LIBGPUSPATIAL] [ 52915][11:00:20:088431][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 540498
[LIBGPUSPATIAL] [ 52915][11:00:20:088460][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.49 ms, RT: 0.37 ms, Copy res: 0.78 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:105846][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2730, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:106049][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 540498 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:113343][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 15.97 ms, Refine: 7.08 ms, Copy Results: 0.37 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:207855][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 3 MB, capacity 451060
[LIBGPUSPATIAL] [ 52915][11:00:20:208733][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 451060
[LIBGPUSPATIAL] [ 52915][11:00:20:208763][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.47 ms, RT: 0.36 ms, Copy res: 0.67 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:221868][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2483, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:222024][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 451060 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:228844][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 12.75 ms, Refine: 6.63 ms, Copy Results: 0.30 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:317466][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 3 MB, capacity 514833
[LIBGPUSPATIAL] [ 52915][11:00:20:318421][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 514833
[LIBGPUSPATIAL] [ 52915][11:00:20:318451][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.48 ms, RT: 0.34 ms, Copy res: 0.76 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:338999][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2780, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:339147][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 514833 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:344439][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 19.36 ms, Refine: 5.00 ms, Copy Results: 0.40 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:440833][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 9 MB, capacity 1206528
[LIBGPUSPATIAL] [ 52915][11:00:20:443967][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 1206528
[LIBGPUSPATIAL] [ 52915][11:00:20:443998][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.39 ms, Copy res: 2.91 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:458615][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2363, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:459001][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 1206528 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:484087][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 12.91 ms, Refine: 24.98 ms, Copy Results: 0.45 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:597354][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 4 MB, capacity 637036
[LIBGPUSPATIAL] [ 52915][11:00:20:598477][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 637036
[LIBGPUSPATIAL] [ 52915][11:00:20:598513][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.47 ms, RT: 0.36 ms, Copy res: 0.91 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:619365][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 13740, Loaded 2718, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:619578][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 637036 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:624337][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 19.38 ms, Refine: 4.49 ms, Copy Results: 0.45 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:727475][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 270825
[LIBGPUSPATIAL] [ 52915][11:00:20:728163][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 12276, Results: 270825
[LIBGPUSPATIAL] [ 52915][11:00:20:728199][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.09 ms, Prepare: 0.47 ms, RT: 0.34 ms, Copy res: 0.48 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:742404][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Loaded Geometries, ProbeArray 12276, Loaded 2464, Type MultiPolygon
[LIBGPUSPATIAL] [ 52915][11:00:20:742505][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Evaluating 270825 Geometry Pairs with Predicate Within
[LIBGPUSPATIAL] [ 52915][11:00:20:748024][info  ] RTSpatialRefiner 0x74c8db5a7550 (Free 22005 MB), Profiling Results. Parse: 13.55 ms, Refine: 5.36 ms, Copy Results: 0.22 ms
[LIBGPUSPATIAL] [ 52915][11:00:20:824377][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Allocate result buffer, memory consumption 2 MB, capacity 390657
[LIBGPUSPATIAL] [ 52915][11:00:20:825208][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Probe Rectangles, Size: 13740, Results: 390657
[LIBGPUSPATIAL] [ 52915][11:00:20:825244][info  ] RTSpatialIndex 0x74c8d908e130 (Free 22005 MB), Profiling Results. Alloc: 0.10 ms, Prepare: 0.48 ms, RT: 0.36 ms, Copy res: 0.62 ms
